Macro taxonomy,Category,Subcategory,Tool/Product name,Company/Vendor,Model basis/stack,Deployment/Access,Primary use case(s),Short factual description,Notes/limitations,Confidence,Primary sources (prioritized)
Create,Documents,PDF Q&A and summarization,Acrobat AI Assistant,Adobe,"Generative AI (LLM) for Q&A and summarization; model(s) not fully disclosed publicly",SaaS + desktop/mobile app integration,"Ask questions and summarize PDFs with citations to document content",Adobe Acrobat AI Assistant enables question answering and summaries over PDFs and documents in Acrobat.,Availability differs by plan; model basis not fully specified on product page.,High,https://www.adobe.com/acrobat/generative-ai-pdf.html
Understand,Search/RAG,Answer engine / web research,Perplexity,Perplexity AI,"LLM-based answer engine (vendor does not fully disclose model stack on landing page)","SaaS (web/mobile); API platform available","Search the web and get synthesized answers","Perplexity positions itself as an AI-powered answer engine for real-time question answering with sourced responses.",Underlying LLM choices can vary; enterprise/legal issues around content licensing are ongoing industry-wide.,Medium,https://www.perplexity.ai/ | https://www.perplexity.ai/api-platform
Act,Browser/agentic assistants,AI browser with task automation,Comet,Perplexity AI,Perplexity AI assistant + agentic automation (LLM-based),Desktop browser (Chromium-based) + SaaS services,"Automate browsing tasks, research, and web actions","Comet is an AI-native browser by Perplexity with an embedded assistant and task automation features.",Access may be plan-gated/invite-only at times; agentic actions depend on site constraints.,Medium,https://www.perplexity.ai/comet/
Understand,Search/RAG,Enterprise search + assistant,Glean Assistant,Glean,"LLM-based assistant grounded in enterprise knowledge graph; specific model partners not fully enumerated on product page",SaaS,Enterprise search and answer generation over company knowledge,"Glean Assistant provides search and creation features over company and web knowledge with enterprise permissions.",Model basis not detailed per feature; verify tenant security/permission model in deployment.,High,https://www.glean.com/product/assistant | https://www.glean.com/
Act,Workflow automation / agentic assistants,Agent platform for enterprise work,Glean Agents,Glean,LLM-driven agents (agentic engine) over connected enterprise data,SaaS,Build and orchestrate agents to execute work across enterprise apps,"Glean positions its platform as supporting agents with orchestration and governance connected to enterprise data.",Specific LLM providers not disclosed in overview; function differs by plan.,Medium,https://www.glean.com/product/overview
Understand,Search/RAG,Chat + enterprise search inside collaboration,AI features in Slack (AI search / summaries),Slack,LLM-backed generative AI features across search summaries translations,SaaS (Slack),"Summarize, search, and generate recaps using workspace content","Slack provides built-in generative AI features including AI search answers based on permitted workspace messages/files and conversation summaries.",Vendor notes AI search answer data is not used to train LLMs; plan availability varies.,High,https://slack.com/help/articles/25076892548883-Guide-to-AI-features-in-Slack | https://slack.com/help/articles/31739993134867-Search-with-AI-in-Slack
Understand,Search/RAG,Enterprise search inside Slack,Slack enterprise search,Slack,AI-powered enterprise search + Slackbot search agent (LLM-based),SaaS (Slack Enterprise),Search across company tools and content sources from Slack,"Slack’s enterprise search aims to search across conversations and connected business tools, with an AI-powered agent experience.","Requires enterprise setup and connectors; may be limited by tool coverage and permissions.",Medium,https://slack.com/features/enterprise-search
Understand,Productivity,Document/file summarization,Microsoft 365 Copilot app,Microsoft,"Microsoft Copilot stack (uses frontier LLMs via Microsoft/OpenAI ecosystem; model routing varies)",SaaS (web app) desktop/mobile clients,"Create, upload, summarize, and collaborate on content; create agents",The Microsoft 365 Copilot app provides a hub for working with files generating content and setting up agents.,Plan/licensing controls capabilities; model basis not always disclosed at feature level.,High,https://support.microsoft.com/en-us/topic/welcome-to-the-microsoft-365-copilot-app-092599f1-5917-4bd6-bd59-58af628bbc39
Understand,Productivity,File summarization / Q&A,Summarize files with Copilot (OneDrive/SharePoint),Microsoft,Microsoft 365 Copilot (LLM-based),SaaS (OneDrive/SharePoint),Generate summaries and ask questions about files without opening them,Copilot in Microsoft 365 supports summarizing supported files and asking follow-up questions from the Copilot panel.,"Supported file types and feature availability vary; requires eligible licensing.",High,https://support.microsoft.com/en-us/office/summarize-your-files-with-copilot-10dcbe50-467d-4a61-9d5e-c98c77fd33a4
Understand,Productivity,Drive file/folder summaries & catch-up,Gemini in Google Drive,Google,"Gemini (LLM) integrated into Workspace; grounded on user’s Drive files + permissions","SaaS (Google Drive web)",Summarize and ask questions about files/folders; catch up on edits/comments,Google Drive includes Gemini-powered summaries and “catch me up” to identify and summarize recent file updates.,"Requires supported Workspace or consumer AI plan; features may be region/language limited.",High,https://support.google.com/drive/answer/16686465?hl=en | https://workspaceupdates.googleblog.com/2024/06/gemini-in-side-panel-of-google-docs-sheets-slides-drive.html
Understand,Productivity,Workspace side-panel assistant,Gemini side panel (Docs/Sheets/Slides/Drive),Google,Gemini (LLM),SaaS (Google Workspace),"Summarize, analyze, and generate content in the flow of work","Gemini in the Workspace side panel supports summarization analysis and generation using context from emails and documents without switching apps.",Requires admin enablement and plan eligibility.,High,https://workspaceupdates.googleblog.com/2024/06/gemini-in-side-panel-of-google-docs-sheets-slides-drive.html | https://support.google.com/a/users/answer/15146419?hl=en
Understand,Productivity,Universal search workspace,Dropbox Dash,Dropbox,"AI-powered universal search and answers (LLM-based); model stack not disclosed",SaaS + desktop app,Search and get answers across connected work apps and files,"Dropbox Dash provides AI-powered universal search and chat-like answers across connected apps and file types.","Some features may be regional/plan-limited; claims of future features may not be released yet.",High,https://dash.dropbox.com/ | https://dash.dropbox.com/features/universal-search
Understand,Document intelligence,Enterprise content Q&A,Box AI,Box,LLM-based secure RAG; supports multiple model vendors via platform integrations,SaaS; also AI-native APIs,Ask questions and generate insights from enterprise content,"Box AI is positioned as an enterprise AI platform for insights and content workflows on top of Box’s content management with secure RAG.",Exact model vendors vary by configuration and era; enterprises should review Box AI trust/privacy.,High,https://www.box.com/ai
Understand,Document intelligence,Structured extraction from documents,Box Extract,Box,Uses latest LLMs (including Google Gemini 3) + OCR + extraction-specific RAG,SaaS; exports to metadata / third-party systems,Extract structured data from unstructured documents at scale,Box Extract automates extraction of structured fields from documents using LLMs with OCR and dedicated extraction approaches.,"Availability depends on Box plan/feature release; extraction accuracy depends on document quality.",High,https://support.box.com/hc/en-us/articles/48235161543955-Announcing-Box-Extract-Jan-2026
Communicate,Meetings,In-meeting copilot,Copilot in Microsoft Teams meetings,Microsoft,Microsoft 365 Copilot (LLM-based) over meeting context,SaaS (Teams) + Copilot pane,"Summarize discussions, identify action items, answer questions during/after meetings","Copilot in Teams meetings can summarize key points and suggest action items in real time (with related transcript settings).",Some functions require transcription and licensing; data residency and policy controls vary.,High,https://support.microsoft.com/en-us/office/use-copilot-in-microsoft-teams-meetings-0bf9dd3c-96f7-44e2-8bb8-790bedf066b1
Communicate,Meetings,Intelligent recap,Intelligent recap for Microsoft Teams,Microsoft,AI-powered recap and highlights,SaaS (Teams Premium / Copilot ecosystem),"Post-meeting summaries, highlights, and follow-up efficiency","Microsoft documents Intelligent recap as an AI feature to help users access key meeting information and highlights after meetings.",Feature availability depends on product licensing and meeting configuration.,High,https://learn.microsoft.com/en-us/microsoftteams/intelligent-recap-calls-meetings
Communicate,Meetings,Meeting notetaker,Otter Meeting Agent / Otter.ai,Otter.ai,"AI transcription + summarization + chat (LLM use not fully specified on homepage)","SaaS (web/mobile); integrations with Zoom/Teams/Meet",Transcribe summarize and search meeting content,Otter is an AI notetaker providing transcription automated summaries and chat over meetings and recordings.,"Model basis not disclosed; transcription may be ASR models plus LLM summarization; verify privacy controls.",Medium,https://otter.ai/ | https://otter.ai/start-for-free
Communicate,Meetings,Meeting notetaker,Fireflies.ai,Fireflies.ai,AI transcription + summarization (LLM basis not specified on homepage),SaaS (web); browser extension; integrations,"Transcribe, summarize, and analyze calls and meetings",Fireflies positions itself as an AI notetaker to transcribe and summarize conversations across meeting platforms.,Underlying LLM stack not disclosed; rely on vendor trust/security posture for sensitive calls.,Medium,https://fireflies.ai/
Communicate,Meetings,Meeting summary + writing,Zoom AI Companion,Zoom,"AI assistant (LLM-based) for summarization, drafting, and agentic tasks; model not disclosed",SaaS (Zoom Workplace) + web interface,"Summarize meetings/chats, draft messages, capture insights",Zoom AI Companion provides summaries drafting and capture capabilities across Zoom and connected platforms.,Capabilities and limits differ by plan; vendor provides add-ons for customization.,High,https://www.zoom.com/en/products/ai-assistant/ | https://support.zoom.com/hc/en/article?id=zm_kb&sysparm_article=KB0058013
Understand,Data analysis & BI,BI copilot,Copilot for Power BI,Microsoft,Generative AI Copilot; integrates with Power BI/Fabric,SaaS (Power BI service); Desktop integration,"Create/edit reports, generate DAX, answer questions about data",Copilot for Power BI supports natural language interactions for analysis report creation and DAX generation.,"Page indicates some features preview and sovereign cloud limitations; admin enablement required.",High,https://learn.microsoft.com/en-us/power-bi/create-reports/copilot-introduction
Act,Data analysis & BI,Report generation,Create/edit Power BI reports with Copilot,Microsoft,Copilot for Power BI (LLM-based),SaaS + Desktop,"Generate report pages and visuals from prompts; narrative summaries",Microsoft documents prompting Copilot to generate report pages and narrative summaries in Power BI.,Requires proper semantic model prep; feature scope varies by tenant settings.,High,https://learn.microsoft.com/en-us/power-bi/create-reports/copilot-create-reports
Understand,Data analysis & BI,Analytics assistant,Databricks Assistant,Databricks,Context-aware AI assistant; uses Databricks-hosted models or partner-powered features,SaaS (Databricks workspaces) + notebooks/SQL editor/BI,"Write, explain, fix SQL/code; interact with data and dashboards",Databricks Assistant is a context-aware AI assistant embedded in notebooks and editors to help with data and code via conversation.,"Model source can change depending on 'Partner-powered AI' settings; enterprise governance applies.",High,https://docs.databricks.com/aws/en/notebooks/use-databricks-assistant
Understand,Data analysis & BI,Analytics assistant,Tableau Agent,Tableau (Salesforce),Generative AI assistant (Agentforce Trust Layer); model specifics not disclosed,"SaaS (Tableau Cloud) and server deployments","Support analytics workflow from prep to visualization via natural language",Tableau Agent is described as a generative AI assistant supporting stages of analytics via natural language.,"Specific LLM stack not disclosed; availability depends on Tableau/Salesforce setup.",High,https://www.tableau.com/products/tableau-agent
Understand,Data analysis & BI,Conversational analytics,ThoughtSpot (Agentic Analytics),ThoughtSpot,Natural language interface + generative AI; some Sage history references GPT integration,SaaS,"Ask questions in natural language and get governed answers from live data",ThoughtSpot positions its platform as natural-language analytics for governed answers and dashboards.,Model stack varies by deployment and product generation; verify whether Sage is current in tenant.,Medium,https://www.thoughtspot.com/
Understand,Legal,Legal research assistant,Westlaw Advantage / Edge (AI-Assisted Research),Thomson Reuters,"Generative + agentic AI workflows grounded in Westlaw content; LLM provider details not fully disclosed",SaaS,"Legal research Q&A, deep research workflows, AI-assisted drafting/analysis","Westlaw Advantage and Westlaw Edge provide AI-assisted research with verifiable results linked to Westlaw authority.",Subscription product; details by plan; model provider not exhaustively disclosed on landing page.,High,https://legal.thomsonreuters.com/en/products/westlaw-advantage | https://legal.thomsonreuters.com/en/products/westlaw-edge
Understand,Legal,GenAI legal assistant,CoCounsel Legal,Thomson Reuters,"Uses generative and agentic AI grounded in Westlaw/Practical Law; processes interactions with OpenAI GPT and Google Gemini per vendor FAQ",SaaS,"Legal research, analysis, and drafting with agentic workflows",CoCounsel Legal is an AI legal assistant that supports research drafting and document analysis with agentic workflows.,"Vendor notes data handling and zero-retention API calls; availability by subscription.",High,https://legal.thomsonreuters.com/en/products/cocounsel-legal | https://www.thomsonreuters.com/en/cocounsel
Understand,Legal,Legal drafting & research,Lexis+ AI,LexisNexis,"Powered by LexisNexis Protégé AI assistant + authoritative sources; model partners not fully listed on product page",SaaS,"Drafting, research, and analysis for legal workflows",Lexis+ AI combines an AI assistant with authoritative legal sources for drafting research and analysis workflows.,Subscription product; model provider details may be contract-dependent.,High,https://www.lexisnexis.com/en-us/products/lexis-plus-ai.page | https://www.lexisnexis.com/en-us/products/protege.page
Act,Legal,Specialized legal AI platform,Harvey Assistant,Harvey,Domain-specific/custom LLMs for legal/professional services,SaaS,"Draft and refine legal work product; research and workflows",Harvey provides AI designed for legal and professional services including drafting and workflow support.,Exact model stack varies by deployment; targeted at enterprise/legal teams.,High,https://www.harvey.ai/ | https://www.harvey.ai/products/assistant
Act,Security & IT operations,Security copilot,Microsoft Security Copilot,Microsoft,Generative AI + specialized security language model; uses OpenAI architecture per docs,SaaS (standalone + embedded in Defender/Sentinel/Intune etc.); plugin ecosystem,"Threat analysis, incident response, hunting, posture management",Microsoft Security Copilot is a generative AI security solution that provides natural-language assistance for security and IT workflows.,Requires provisioning (SCUs) or eligible licensing; operational data governance critical.,High,https://www.microsoft.com/en-us/security/business/ai-machine-learning/microsoft-security-copilot | https://learn.microsoft.com/en-us/copilot/security/microsoft-security-copilot
Act,Security & IT operations,Agentic cybersecurity analyst,Charlotte AI,CrowdStrike,LLM-powered conversations + agentic workflows over Falcon telemetry,SaaS (CrowdStrike Falcon platform),"SOC triage, investigation, and agentic SOAR",CrowdStrike positions Charlotte AI as the 'brain' of an agentic SOC providing LLM-powered chat and agentic workflows for triage and response.,Feature availability varies by Falcon modules; some items 'coming soon' per datasheet.,High,https://www.crowdstrike.com/en-us/platform/charlotte-ai/ | https://www.crowdstrike.com/content/dam/crowdstrike/marketing/en-us/documents/pdfs/data-sheets/crowdstrike-charlotte-ai-datasheet.pdf
Act,Security & IT operations,Security copilots,Palo Alto Networks Copilots,Palo Alto Networks,Precision AI-powered copilots; model specifics not fully disclosed,SaaS + embedded across product lines (Prisma/Strata/Cortex),Copilot guidance for cloud network and SOC workflows,Palo Alto Networks offers AI copilots for security operations and cloud/network security powered by Precision AI.,"LLM/provider details not fully enumerated; actual capabilities vary by product (Prisma/Strata/Cortex).",High,https://www.paloaltonetworks.com/precision-ai-security/copilots
Act,Security & IT operations,GenAI security analyst,Purple AI,SentinelOne,Generative AI security analyst experience; model basis not specified,SaaS (SentinelOne platform),"Threat hunting and SecOps assistance in natural language",SentinelOne’s Purple AI is positioned as a generative-AI powered analyst experience for security operations.,Model details not public; effectiveness depends on telemetry coverage and deployment context.,High,https://www.sentinelone.com/platform/purple/
Act,Workflow automation / agentic assistants,Build & publish agents,Microsoft Copilot Studio,Microsoft,"Agent platform over Copilot stack; supports agent building via natural language",SaaS (Copilot Studio); publish to Teams M365 Copilot web channels,Build and manage agents connected to business data,Microsoft Copilot Studio is a platform for building customizing and deploying AI agents across channels.,"Pricing uses tenant-wide licensing and usage credits; advanced features may be gated.",High,https://www.microsoft.com/en-us/microsoft-365-copilot/microsoft-copilot-studio | https://learn.microsoft.com/en-us/microsoft-copilot-studio/
Act,Workflow automation / agentic assistants,Agent builder in M365,Agent Builder in Microsoft 365 Copilot,Microsoft,Declarative agents (LLM-based) authored via natural language,SaaS (Microsoft 365 Copilot app),Create task-focused agents for internal workflows,Microsoft documents Agent Builder as a way to create declarative agents from within Microsoft 365 Copilot.,Capabilities vary by license; governance applies.,High,https://learn.microsoft.com/en-us/microsoft-365-copilot/extensibility/agent-builder-build-agents
Act,Workflow automation / agentic assistants,Automation-focused agents,Zapier Agents,Zapier,"LLM-driven agents integrated with automation across app ecosystem; model partners not specified",SaaS; browser extension (some features),Create agents that execute automation tasks across apps,"Zapier Agents are designed to automate tasks across Zapier’s app ecosystem with a shift toward automation as the primary focus.",Product positioning and features have changed over time; review current pricing and maintenance notices.,High,https://zapier.com/blog/zapier-agents-guide/ | https://help.zapier.com/hc/en-us/articles/36713413544845-Big-changes-to-Zapier-Agents-and-planned-maintenance
Act,Workflow automation / agentic assistants,Workflow-native GenAI,ServiceNow Now Assist,ServiceNow,"Generative AI + domain-specific models integrated into workflows; supports third-party model integrations",SaaS (ServiceNow platform),"Assist users with search, content generation, recommendations, self-service, and workflow actions",ServiceNow’s Now Assist combines generative AI with workflow automation using domain-specific models and integrations.,"Exact models depend on instance configuration and partners; governance and auditability are key.",High,https://www.servicenow.com/platform/now-assist.html | https://www.servicenow.com/docs/r/xanadu/intelligent-experiences/platform-now-assist-landing.html
Act,Workflow automation / agentic assistants,CRM/enterprise agent platform,Agentforce,Salesforce,"Agentic AI platform; multimodal support; model basis not fully disclosed on landing page",SaaS (Salesforce platform) + integrations,Build and deploy AI agents for customer/employee workflows,Salesforce positions Agentforce as a platform to build deploy and manage AI agents at scale across business functions.,"Model provider details vary; deep integration with Salesforce data and governance required.",High,https://www.salesforce.com/agentforce/ | https://www.salesforce.com/agentforce/what-is-new/
Act,Workflow automation / agentic assistants,Work management AI agents,Atlassian Rovo,Atlassian,AI search/chat/agents layer integrated with Atlassian cloud apps; model basis not specified,SaaS (Atlassian cloud),"Search, chat, and agents across Atlassian workflows and connected apps",Atlassian describes Rovo as AI that connects apps teams and workflows with richer context and skills across its platform.,Model stack not fully disclosed; features depend on Atlassian cloud and permissions.,High,https://www.atlassian.com/blog/announcements/team25-europe-rovo-everywhere | https://www.atlassian.com/blog/announcements/team25-rovo-for-all
Communicate,Customer support & contact centers,AI agent (customer self-service),Fin AI Agent,Intercom,Proprietary Fin AI Engine + LLM-based agent architecture,SaaS; deploy across channels (chat/email/social/voice),Resolve customer support queries automatically with safe handoff,"Fin is an AI agent designed to resolve customer service inquiries across channels, positioned as part of Intercom’s customer service platform.","Requires quality knowledge base and guardrails; performance depends on content coverage and escalation design.",High,https://fin.ai/ | https://www.intercom.com/help/en/articles/7120684-fin-ai-agent-explained
Communicate,Customer support & contact centers,Contact center copilot,Genesys Cloud Copilots,Genesys,AI copilot capabilities (LLM use implied; not fully disclosed on capability page),SaaS (Genesys Cloud),Assist contact center users with knowledge and automation in natural language,Genesys Cloud Copilot is positioned as conversational assistance that surfaces critical knowledge in the contact center.,Model basis not disclosed; implementations vary by module and configuration.,Medium,https://www.genesys.com/capabilities/copilots
Communicate,Customer support & contact centers,CX AI platform,CXone Mpower,NICE,"AI agents enhanced with LLMs; vendor references LLMs powering AI agents for self-service",SaaS (CXone platform),Orchestrate human and AI agents across CX workflows,NICE positions CXone as an enterprise AI platform orchestrating human and AI agents for customer experience.,"Vendor marketing spans multiple AI types; verify which functions are LLM-driven in deployment.",Medium,https://www.nice.com/products/cxone | https://www.nice.com/products/ai-agents-for-self-service
Communicate,Sales & revenue ops,CRM assistant,Breeze Assistant,HubSpot,"HubSpot AI assistant (LLM-based; model basis not disclosed on help article)",SaaS (HubSpot),"Generate and refine content; summarize CRM data; meeting prep",Breeze Assistant is a conversational assistant in HubSpot for sales marketing and service teams to generate content and summarize data.,"Model stack not disclosed; best results depend on CRM data quality and governance.",High,https://www.hubspot.com/products/artificial-intelligence/breeze-ai-assistant | https://knowledge.hubspot.com/ai/use-breeze-assistant
Act,Sales & revenue ops,Revenue AI platform,Gong Revenue AI,Gong,"AI platform for capturing and analyzing revenue interactions; specific LLM stack not disclosed on landing page",SaaS,"Capture conversations and turn them into insights and automated workflows",Gong positions its platform as an AI operating system for revenue teams analyzing customer interactions to drive execution.,Model basis unclear publicly; features span ASR analytics and LLM summarization.,Medium,https://www.gong.io/platform/revenue-ai
Act,Sales & revenue ops,Revenue orchestration,Clari Revenue Orchestration Platform,Clari,"Predictive + generative AI (RevAI) per vendor; model basis not specified",SaaS,"Forecasting, pipeline inspection, execution workflows",Clari positions itself as a revenue orchestration platform that powers AI with revenue context to manage enterprise revenue workflows.,Model details not public; requires integrations with CRM/email/calendar.,Medium,https://www.clari.com/products/revenue-orchestration-platform/ | https://www.clari.com/
Act,Sales & revenue ops,Sales engagement + AI workflows,Outreach,Outreach,AI-powered revenue workflow platform; model basis not disclosed,SaaS,"AI-assisted prospecting, deal management, and workflow automation",Outreach positions itself as an AI revenue workflow platform with AI-powered sales engagement capabilities.,Model basis not specified; product spans multiple workflows beyond pure LLM functionality.,Medium,https://outreach.io/ | https://outreach.io/platform/sales-ai
Create,Marketing,Brand-safe copy and workflows,Jasper,Jasper,LLM-driven marketing agents/workflows; specific model providers not fully disclosed on homepage,SaaS,Generate marketing content with brand controls and specialized agents,Jasper is positioned as an agent workspace for marketing teams offering specialized AI agents and end-to-end content workflows.,Model basis not public; evaluate compliance/brand governance features per plan.,Medium,https://www.jasper.ai/ | https://www.jasper.ai/platform
Create,Marketing,Enterprise writing and agentic work,Writer (platform),Writer,"Palmyra family of LLMs (in-house) incl. long-context agentic models; transformer architecture referenced in AWS Bedrock listing",SaaS + API + integrations,"Enterprise writing, RFPs, comms, workflows",Writer provides an enterprise AI platform built around its Palmyra LLM family for agentic enterprise work.,"Some information varies by deployment; user-facing product plus developer/API surfaces.",High,https://writer.com/llms/ | https://aws.amazon.com/bedrock/writer/
Act,Marketing,GTM automation platform,Copy.ai,Copy.ai,"GTM AI platform with workflows/actions/agents (LLM-based; model basis not disclosed)",SaaS,Automate marketing and sales ops workflows with AI,Copy.ai positions its product as a GTM AI platform with workflows actions and agents for go-to-market teams.,Model basis not disclosed; ensure data connectors and governance meet requirements.,Medium,https://www.copy.ai/
Communicate,Education & training,AI tutor,Khanmigo,Khan Academy,LLM-based tutoring assistant (model not specified on landing page),SaaS (web),Personalized tutoring and teacher support,"Khanmigo is an AI-powered tutor and teaching assistant from Khan Academy, designed to guide learners rather than simply give answers.","Access may be paid for families and free for educators depending on region/eligibility; model basis not disclosed.",High,https://www.khanmigo.ai/ | https://www.khanmigo.ai/teachers
Communicate,Education & training,Language learning tutor,Duolingo Max,Duolingo,OpenAI GPT‑4 used for Max features (Roleplay Explain My Answer) per Duolingo blog,Mobile app (iOS/Android) + SaaS,Explain answers and practice roleplay conversations,Duolingo Max adds AI-powered learning features like Roleplay and Explain My Answer built with GPT‑4.,"Feature availability and exact underlying model may evolve; subscription tier required.",High,https://blog.duolingo.com/duolingo-max/
Communicate,Education & training,Learning assistant,Coursera Coach,Coursera,Generative AI assistant (LLM-based) anchored in Coursera content,SaaS (Coursera),"On-demand help, feedback, and guidance while taking courses",Coursera Coach provides interactive AI guidance tailored to learners’ goals and course content.,"Availability varies by course or subscription; model basis not specified.",High,https://www.coursera.org/explore/coach | https://blog.coursera.org/coursera-coach-leveraging-genai-to-empower-learners/
Create,Coding & software engineering,IDE code completion & chat,JetBrains AI Assistant,JetBrains,LLMs and agents supported by JetBrains; exact models vary by configuration,IDE plugin (JetBrains IDEs) + SaaS,"Code completion, explanations, commit messages, chat/agent modes",JetBrains AI Assistant provides AI-powered coding support including code explanation completion and chat/agent workflows inside JetBrains IDEs.,Exact LLM providers may vary; enterprise policies and telemetry settings matter.,High,https://www.jetbrains.com/help/ai-assistant/about-ai-assistant.html | https://www.jetbrains.com/help/ai-assistant/ai-chat.html
Create,Coding & software engineering,Developer agent/editor,Cursor,Anysphere,"Uses multiple frontier models; exact default can vary",Desktop app (AI code editor) + integrations,AI-assisted coding edits and debugging in an editor,Cursor is an AI-powered code editor aimed at accelerating development; model options vary over time and configuration.,Primary sources about exact model stack can be limited; treat specific model claims as configuration-dependent.,Low,https://www.wired.com/story/cursor-releases-new-ai-tool-for-debugging-code
Create,Coding & software engineering,Cloud developer assistant,Amazon Q Developer,Amazon Web Services,Generative AI assistant (LLM-based); model basis not fully disclosed on product page,SaaS + IDE extensions + AWS console,Code generation review and dev assistance across AWS workflows,Amazon Q Developer is AWS’s generative AI assistant for developers offered via AWS services and IDE integrations.,Model stack not disclosed; ensure extension security posture and versioning controls.,Medium,https://aws.amazon.com/q/developer/
